experiment,channel_preset,active_channels,accuracy,macro_f1
baseline,all,"0,1,2",0.7777101713822128,0.7440784193442846
obfuscated_jitter_low,all,"0,1,2",0.7683804887942399,0.727166724032096
baseline,ipt_only,0,0.0017036811682385154,5.3149486727813885e-05
obfuscated_jitter_low,ipt_only,0,0.0017036811682385154,5.3149486727813885e-05
baseline,dir_only,1,0.030990771727005376,0.0031934552804808707
obfuscated_jitter_low,dir_only,1,0.030990771727005376,0.0031934552804808707
baseline,size_only,2,0.0017036811682385154,5.3149486727813885e-05
obfuscated_jitter_low,size_only,2,0.0017036811682385154,5.3149486727813885e-05
baseline,ipt_dir,"0,1",0.03689281005983166,0.007200740872111788
obfuscated_jitter_low,ipt_dir,"0,1",0.03715647500253524,0.00698603956623013
